epoch,step,val_acc,val_loss
0,214,0.9085999727249146,0.3123794198036194
1,429,0.9120000004768372,0.30685627460479736
2,644,0.9121999740600586,0.3065524101257324
3,859,0.9118000268936157,0.3088917136192322
4,1074,0.9103999733924866,0.3105338513851166
5,1289,0.9097999930381775,0.31155794858932495
6,1504,0.9101999998092651,0.3120220899581909
7,1719,0.9187999963760376,0.2777877449989319
8,1934,0.9196000099182129,0.27769234776496887
9,2149,0.920199990272522,0.27808311581611633
10,2364,0.9210000038146973,0.2784908711910248
11,2579,0.9214000105857849,0.2789164185523987
12,2794,0.9218000173568726,0.27935341000556946
13,3009,0.9222000241279602,0.2798042893409729
14,3224,0.9233999848365784,0.276350736618042
15,3439,0.923799991607666,0.2764096260070801
16,3654,0.9233999848365784,0.27652835845947266
17,3869,0.9233999848365784,0.27665001153945923
18,4084,0.9232000112533569,0.27676060795783997
19,4299,0.9229999780654907,0.27686211466789246
20,4514,0.9232000112533569,0.2769600450992584
21,4729,0.9229999780654907,0.27696141600608826
22,4944,0.9228000044822693,0.27699020504951477
23,5159,0.9225999712944031,0.2770196199417114
24,5374,0.9228000044822693,0.2770420014858246
25,5589,0.9229999780654907,0.2770611345767975
26,5804,0.9229999780654907,0.27707427740097046
27,6019,0.9229999780654907,0.27709004282951355
28,6234,0.9229999780654907,0.2770926058292389
29,6449,0.9229999780654907,0.27709469199180603
